SourceField,TargetField,DataType
Id,ContactId,STRING
MasterRecordId,MasterRecordId,STRING
AccountId,AccountId,STRING
LastName,LastName,STRING
FirstName,FirstName,STRING
Salutation,Salutation,STRING
Name,Name,STRING
RecordTypeId,RecordTypeId,STRING
OtherStreet,OtherStreet,STRING
OtherCity,OtherCity,STRING
OtherState,OtherState,STRING
OtherPostalCode,OtherPostalCode,STRING
OtherCountry,OtherCountry,STRING
OtherLatitude,OtherLatitude,FLOAT64
OtherLongitude,OtherLongitude,FLOAT64
OtherGeocodeAccuracy,OtherGeocodeAccuracy,STRING
MailingStreet,MailingStreet,STRING
MailingCity,MailingCity,STRING
MailingState,MailingState,STRING
MailingPostalCode,MailingPostalCode,STRING
MailingCountry,MailingCountry,STRING
MailingLatitude,MailingLatitude,FLOAT64
MailingLongitude,MailingLongitude,FLOAT64
MailingGeocodeAccuracy,MailingGeocodeAccuracy,STRING
Phone,Phone,STRING
Fax,Fax,STRING
MobilePhone,MobilePhone,STRING
HomePhone,HomePhone,STRING
OtherPhone,OtherPhone,STRING
AssistantPhone,AssistantPhone,STRING
ReportsToId,ReportsToId,STRING
Email,Email,STRING
Title,Title,STRING
Department,Department,STRING
AssistantName,AssistantName,STRING
LeadSource,LeadSource,STRING
Birthdate,Birthdate,DATE
Description,Description,STRING
OwnerId,OwnerId,STRING
CreatedDate,CreatedDatestamp,TIMESTAMP
CreatedById,CreatedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
LastModifiedById,LastModifiedById,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
LastActivityDate,LastActivityDate,DATE
LastCURequestDate,LastCURequestDatestamp,TIMESTAMP
LastCUUpdateDate,LastCUUpdateDatestamp,TIMESTAMP
LastViewedDate,LastViewedDatestamp,TIMESTAMP
LastReferencedDate,LastReferencedDatestamp,TIMESTAMP
EmailBouncedReason,EmailBouncedReason,STRING
EmailBouncedDate,EmailBouncedDatestamp,TIMESTAMP
IsEmailBounced,IsEmailBounced,BOOL
PhotoUrl,PhotoUrl,STRING
Jigsaw,Jigsaw,STRING
JigsawContactId,JigsawContactId,STRING
IndividualId,IndividualId,STRING
