SourceField,TargetField,DataType
Id,OpportunityId,STRING
AccountId,AccountId,STRING
RecordTypeId,RecordTypeId,STRING
Name,Name,STRING
Description,Description,STRING
StageName,StageName,STRING
Amount,Amount,FLOAT64
Probability,Probability,FLOAT64
CloseDate,CloseDate,DATE
Type,Type,STRING
NextStep,NextStep,STRING
LeadSource,LeadSource,STRING
IsClosed,IsClosed,BOOL
IsWon,IsWon,BOOL
ForecastCategory,ForecastCategory,STRING
ForecastCategoryName,ForecastCategoryName,STRING
CampaignId,CampaignId,STRING
HasOpportunityLineItem,HasOpportunityLineItem,BOOL
Pricebook2Id,Pricebook2Id,STRING
OwnerId,OwnerId,STRING
CreatedDate,CreatedDatestamp,TIMESTAMP
CreatedById,CreatedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
LastModifiedById,LastModifiedById,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
LastActivityDate,LastActivityDate,DATE
LastStageChangeDate,LastStageChangeDatestamp,TIMESTAMP
FiscalQuarter,FiscalQuarter,INT64
FiscalYear,FiscalYear,INT64
Fiscal,Fiscal,STRING
ContactId,ContactId,STRING
LastViewedDate,LastViewedDatestamp,TIMESTAMP
LastReferencedDate,LastReferencedDatestamp,TIMESTAMP
HasOpenActivity,HasOpenActivity,BOOL
HasOverdueTask,HasOverdueTask,BOOL
LastAmountChangedHistoryId,LastAmountChangedHistoryId,STRING
LastCloseDateChangedHistoryId,LastCloseDateChangedHistoryId,STRING
