SourceField,ResponseField,TargetField,DataType
ad_group_ad.action_items,action_items,action_items[],STRING
ad_group_ad.ad.added_by_google_ads,ad,ad.added_by_google_ads,BOOL
ad_group_ad.ad.display_url,ad,ad.display_url,STRING
ad_group_ad.ad.final_app_urls,ad,ad.final_app_urls[].os_type,STRING
ad_group_ad.ad.final_app_urls,ad,ad.final_app_urls[].url,STRING
ad_group_ad.ad.final_mobile_urls,ad,ad.final_mobile_urls[],STRING
ad_group_ad.ad.final_url_suffix,ad,ad.final_url_suffix,STRING
ad_group_ad.ad.final_urls,ad,ad.final_urls[],STRING
ad_group_ad.ad.id,ad,ad.id,INT64
ad_group_ad.ad.name,ad,ad.name,STRING
ad_group_ad.ad.resource_name,ad,ad.resource_name,STRING
ad_group_ad.ad.system_managed_resource_source,ad,ad.system_managed_resource_source,STRING
ad_group_ad.ad.tracking_url_template,ad,ad.tracking_url_template,STRING
ad_group_ad.ad.type,ad,ad.type_,STRING
ad_group_ad.ad.url_collections,ad,ad.url_collections[].final_urls[],STRING
ad_group_ad.ad.url_collections,ad,ad.url_collections[].final_mobile_urls[],STRING
ad_group_ad.ad.url_collections,ad,ad.url_collections[].url_collection_id,STRING
ad_group_ad.ad.url_collections,ad,ad.url_collections[].tracking_url_template,STRING
ad_group_ad.ad.url_custom_parameters,ad,ad.url_custom_parameters[].key,STRING
ad_group_ad.ad.url_custom_parameters,ad,ad.url_custom_parameters[].value,STRING
ad_group_ad.ad.text_ad.headline,ad,ad.text_ad.headline,STRING
ad_group_ad.ad.text_ad.description1,ad,ad.text_ad.description1,STRING
ad_group_ad.ad.text_ad.description2,ad,ad.text_ad.description2,STRING
ad_group_ad.ad.expanded_text_ad.headline_part1,ad,ad.expanded_text_ad.headline_part1,STRING
ad_group_ad.ad.expanded_text_ad.headline_part2,ad,ad.expanded_text_ad.headline_part2,STRING
ad_group_ad.ad.expanded_text_ad.headline_part3,ad,ad.expanded_text_ad.headline_part3,STRING
ad_group_ad.ad.expanded_text_ad.description,ad,ad.expanded_text_ad.description,STRING
ad_group_ad.ad.expanded_text_ad.description2,ad,ad.expanded_text_ad.description2,STRING
