SourceField,ResponseField,TargetField,DataType
ad_group_criterion.ad_group,ad_group,ad_group,STRING
ad_group_criterion.age_range.type,age_range,age_range.type_,STRING
ad_group_criterion.app_payment_model.type,app_payment_model,app_payment_model.type_,STRING
ad_group_criterion.approval_status,approval_status,approval_status,STRING
ad_group_criterion.audience.audience,audience,audience.audience,STRING
ad_group_criterion.bid_modifier,bid_modifier,bid_modifier,FLOAT64
ad_group_criterion.combined_audience.combined_audience,combined_audience,combined_audience.combined_audience,STRING
ad_group_criterion.cpc_bid_micros,cpc_bid_micros,cpc_bid_micros,INT64
ad_group_criterion.cpm_bid_micros,cpm_bid_micros,cpm_bid_micros,INT64
ad_group_criterion.cpv_bid_micros,cpv_bid_micros,cpv_bid_micros,INT64
ad_group_criterion.criterion_id,criterion_id,criterion_id,INT64
ad_group_criterion.custom_affinity.custom_affinity,custom_affinity,custom_affinity.custom_affinity,STRING
ad_group_criterion.custom_audience.custom_audience,custom_audience,custom_audience.custom_audience,STRING
ad_group_criterion.custom_intent.custom_intent,custom_intent,custom_intent.custom_intent,STRING
ad_group_criterion.disapproval_reasons,disapproval_reasons,disapproval_reasons[],STRING
ad_group_criterion.display_name,display_name,display_name,STRING
ad_group_criterion.effective_cpc_bid_micros,effective_cpc_bid_micros,effective_cpc_bid_micros,INT64
ad_group_criterion.effective_cpc_bid_source,effective_cpc_bid_source,effective_cpc_bid_source,STRING
ad_group_criterion.effective_cpm_bid_micros,effective_cpm_bid_micros,effective_cpm_bid_micros,INT64
ad_group_criterion.effective_cpm_bid_source,effective_cpm_bid_source,effective_cpm_bid_source,STRING
ad_group_criterion.effective_cpv_bid_micros,effective_cpv_bid_micros,effective_cpv_bid_micros,INT64
ad_group_criterion.effective_cpv_bid_source,effective_cpv_bid_source,effective_cpv_bid_source,STRING
ad_group_criterion.effective_percent_cpc_bid_micros,effective_percent_cpc_bid_micros,effective_percent_cpc_bid_micros,INT64
ad_group_criterion.effective_percent_cpc_bid_source,effective_percent_cpc_bid_source,effective_percent_cpc_bid_source,STRING
ad_group_criterion.final_mobile_urls,final_mobile_urls,final_mobile_urls[],STRING
ad_group_criterion.final_url_suffix,final_url_suffix,final_url_suffix,STRING
ad_group_criterion.final_urls,final_urls,final_urls[],STRING
ad_group_criterion.gender.type,gender,gender.type_,STRING
ad_group_criterion.income_range.type,income_range,income_range.type_,STRING
ad_group_criterion.keyword.match_type,keyword,keyword.match_type,STRING
