SourceField,ResponseField,TargetField,DataType
campaign.resource_name,resource_name,resource_name,STRING
campaign.primary_status,primary_status,primary_status,STRING
campaign.primary_status_reasons,primary_status_reasons,primary_status_reasons[],STRING
campaign.status,status,status,STRING
campaign.serving_status,serving_status,serving_status,STRING
campaign.bidding_strategy_system_status,bidding_strategy_system_status,bidding_strategy_system_status,STRING
campaign.ad_serving_optimization_status,ad_serving_optimization_status,ad_serving_optimization_status,STRING
campaign.advertising_channel_type,advertising_channel_type,advertising_channel_type,STRING
campaign.advertising_channel_sub_type,advertising_channel_sub_type,advertising_channel_sub_type,STRING
campaign.url_custom_parameters,url_custom_parameters,url_custom_parameters[].key,STRING
campaign.url_custom_parameters,url_custom_parameters,url_custom_parameters[].value,STRING
campaign.local_services_campaign_settings.category_bids,local_services_campaign_settings,local_services_campaign_settings.category_bids.category_id,STRING
campaign.local_services_campaign_settings.category_bids,local_services_campaign_settings,local_services_campaign_settings.category_bids.manual_cpa_bid_micros,INT64
campaign.travel_campaign_settings.travel_account_id,travel_campaign_settings,travel_campaign_settings.travel_account_id,INT64
campaign.real_time_bidding_setting.opt_in,real_time_bidding_setting,real_time_bidding_setting.opt_in,BOOL
campaign.network_settings.target_content_network,network_settings,network_settings.target_content_network,BOOL
campaign.network_settings.target_google_search,network_settings,network_settings.target_google_search,BOOL
campaign.network_settings.target_partner_search_network,network_settings,network_settings.target_partner_search_network,BOOL
campaign.network_settings.target_search_network,network_settings,network_settings.target_search_network,BOOL
campaign.hotel_setting.hotel_center_id,hotel_setting,hotel_setting.hotel_center_id,INT64
campaign.dynamic_search_ads_setting.domain_name,dynamic_search_ads_setting,dynamic_search_ads_setting.domain_name,STRING
campaign.dynamic_search_ads_setting.feeds,dynamic_search_ads_setting,dynamic_search_ads_setting.feeds[],STRING
campaign.dynamic_search_ads_setting.language_code,dynamic_search_ads_setting,dynamic_search_ads_setting.language_code,STRING
campaign.dynamic_search_ads_setting.use_supplied_urls_only,dynamic_search_ads_setting,dynamic_search_ads_setting.use_supplied_urls_only,BOOL
campaign.shopping_setting.campaign_priority,shopping_setting,shopping_setting.campaign_priority,INT64
campaign.shopping_setting.enable_local,shopping_setting,shopping_setting.enable_local,BOOL
campaign.shopping_setting.feed_label,shopping_setting,shopping_setting.feed_label,STRING
campaign.shopping_setting.merchant_id,shopping_setting,shopping_setting.merchant_id,INT64
campaign.shopping_setting.use_vehicle_inventory,shopping_setting,shopping_setting.use_vehicle_inventory,BOOL
campaign.targeting_setting.target_restrictions,targeting_setting,targeting_setting.target_restrictions[].targeting_dimension,STRING
campaign.targeting_setting.target_restrictions,targeting_setting,targeting_setting.target_restrictions[].bid_only,BOOL
campaign.targeting_setting.target_restrictions,targeting_setting,targeting_setting.target_restriction_operations[].operator,STRING
campaign.targeting_setting.target_restrictions,targeting_setting,targeting_setting.target_restriction_operations[].value.bid_only,BOOL
campaign.targeting_setting.target_restrictions,targeting_setting,targeting_setting.target_restriction_operations[].value.targeting_dimension,STRING
campaign.geo_target_type_setting.negative_geo_target_type,geo_target_type_setting,geo_target_type_setting.negative_geo_target_type,STRING
campaign.geo_target_type_setting.positive_geo_target_type,geo_target_type_setting,geo_target_type_setting.positive_geo_target_type,STRING
campaign.local_campaign_setting.location_source_type,local_campaign_setting,local_campaign_setting.location_source_type,STRING
campaign.app_campaign_setting.app_id,app_campaign_setting,app_campaign_setting.app_id,STRING
campaign.app_campaign_setting.app_store,app_campaign_setting,app_campaign_setting.app_store,STRING
campaign.app_campaign_setting.bidding_strategy_goal_type,app_campaign_setting,app_campaign_setting.bidding_strategy_goal_type,STRING
campaign.labels,labels,labels[],STRING
campaign.experiment_type,experiment_type,experiment_type,STRING
campaign.bidding_strategy_type,bidding_strategy_type,bidding_strategy_type,STRING
campaign.accessible_bidding_strategy,accessible_bidding_strategy,accessible_bidding_strategy,STRING
campaign.frequency_caps,frequency_caps,frequency_caps[].key.level,STRING
campaign.frequency_caps,frequency_caps,frequency_caps[].key.event_type,STRING
campaign.frequency_caps,frequency_caps,frequency_caps[].key.time_unit,STRING
campaign.frequency_caps,frequency_caps,frequency_caps[].key.time_length,INT64
campaign.frequency_caps,frequency_caps,frequency_caps[].cap,INT64
campaign.video_brand_safety_suitability,video_brand_safety_suitability,video_brand_safety_suitability,STRING
campaign.vanity_pharma.vanity_pharma_display_url_mode,vanity_pharma,vanity_pharma.vanity_pharma_display_url_mode,STRING
campaign.vanity_pharma.vanity_pharma_text,vanity_pharma,vanity_pharma.vanity_pharma_text,STRING
campaign.selective_optimization.conversion_actions,selective_optimization,selective_optimization.conversion_actions[],STRING
campaign.optimization_goal_setting.optimization_goal_types,optimization_goal_setting,optimization_goal_setting.optimization_goal_types[],STRING
campaign.tracking_setting.tracking_url,tracking_setting,tracking_setting.tracking_url,STRING
campaign.payment_mode,payment_mode,payment_mode,STRING
campaign.excluded_parent_asset_field_types,excluded_parent_asset_field_types,excluded_parent_asset_field_types[],STRING
campaign.excluded_parent_asset_set_types,excluded_parent_asset_set_types,excluded_parent_asset_set_types[],STRING
campaign.performance_max_upgrade.performance_max_campaign,performance_max_upgrade,performance_max_upgrade.performance_max_campaign,STRING
campaign.performance_max_upgrade.pre_upgrade_campaign,performance_max_upgrade,performance_max_upgrade.pre_upgrade_campaign,STRING
campaign.performance_max_upgrade.status,performance_max_upgrade,performance_max_upgrade.status,STRING
campaign.id,id,id,INT64
campaign.name,name,name,STRING
campaign.tracking_url_template,tracking_url_template,tracking_url_template,STRING
campaign.audience_setting.use_audience_grouped,audience_setting,audience_setting.use_audience_grouped,BOOL
campaign.base_campaign,base_campaign,base_campaign,STRING
campaign.campaign_budget,campaign_budget,campaign_budget,STRING
campaign.start_date,start_date,start_date,DATE
campaign.campaign_group,campaign_group,campaign_group,STRING
campaign.end_date,end_date,end_date,DATE
campaign.final_url_suffix,final_url_suffix,final_url_suffix,STRING
campaign.optimization_score,optimization_score,optimization_score,FLOAT64
campaign.url_expansion_opt_out,url_expansion_opt_out,url_expansion_opt_out,BOOL
campaign.hotel_property_asset_set,hotel_property_asset_set,hotel_property_asset_set,STRING
campaign.bidding_strategy,bidding_strategy,bidding_strategy,STRING
campaign.commission.commission_rate_micros,commission,commission.commission_rate_micros,INT64
campaign.manual_cpa,manual_cpa,manual_cpa,STRING
campaign.manual_cpc.enhanced_cpc_enabled,manual_cpc,manual_cpc.enhanced_cpc_enabled,BOOL
campaign.manual_cpm,manual_cpm,manual_cpm,STRING
campaign.manual_cpv,manual_cpv,manual_cpv,STRING
campaign.maximize_conversions.target_cpa_micros,maximize_conversions,maximize_conversions.target_cpa_micros,INT64
campaign.maximize_conversions.target_cpa_micros,maximize_conversions,maximize_conversions.cpc_bid_ceiling_micros,INT64
campaign.maximize_conversions.target_cpa_micros,maximize_conversions,maximize_conversions.cpc_bid_floor_micros,INT64
campaign.maximize_conversion_value.target_roas,maximize_conversion_value,maximize_conversion_value.target_roas,FLOAT64
campaign.maximize_conversion_value.target_roas,maximize_conversion_value,maximize_conversion_value.cpc_bid_ceiling_micros,INT64
