SourceField,ResponseField,TargetField,DataType
segments.date,segments,segments.date,DATE
campaign.resource_name,campaign,campaign.resource_name,STRING
campaign.id,campaign,campaign.id,INT64
metrics.absolute_top_impression_percentage,metrics,metrics.absolute_top_impression_percentage,FLOAT64
metrics.active_view_cpm,metrics,metrics.active_view_cpm,FLOAT64
metrics.active_view_ctr,metrics,metrics.active_view_ctr,FLOAT64
metrics.active_view_impressions,metrics,metrics.active_view_impressions,INT64
metrics.active_view_measurability,metrics,metrics.active_view_measurability,FLOAT64
metrics.active_view_measurable_cost_micros,metrics,metrics.active_view_measurable_cost_micros,INT64
metrics.active_view_measurable_impressions,metrics,metrics.active_view_measurable_impressions,INT64
metrics.active_view_viewability,metrics,metrics.active_view_viewability,FLOAT64
metrics.all_conversions,metrics,metrics.all_conversions,FLOAT64
metrics.all_conversions_by_conversion_date,metrics,metrics.all_conversions_by_conversion_date,FLOAT64
metrics.all_conversions_from_click_to_call,metrics,metrics.all_conversions_from_click_to_call,FLOAT64
metrics.all_conversions_from_directions,metrics,metrics.all_conversions_from_directions,FLOAT64
metrics.all_conversions_from_interactions_rate,metrics,metrics.all_conversions_from_interactions_rate,FLOAT64
metrics.all_conversions_from_menu,metrics,metrics.all_conversions_from_menu,FLOAT64
metrics.all_conversions_from_order,metrics,metrics.all_conversions_from_order,FLOAT64
metrics.all_conversions_from_other_engagement,metrics,metrics.all_conversions_from_other_engagement,FLOAT64
metrics.all_conversions_from_store_visit,metrics,metrics.all_conversions_from_store_visit,FLOAT64
metrics.all_conversions_from_store_website,metrics,metrics.all_conversions_from_store_website,FLOAT64
metrics.all_conversions_value,metrics,metrics.all_conversions_value,FLOAT64
metrics.all_conversions_value_by_conversion_date,metrics,metrics.all_conversions_value_by_conversion_date,FLOAT64
metrics.all_new_customer_lifetime_value,metrics,metrics.all_new_customer_lifetime_value,FLOAT64
metrics.average_cart_size,metrics,metrics.average_cart_size,FLOAT64
metrics.average_cost,metrics,metrics.average_cost,FLOAT64
metrics.average_cpc,metrics,metrics.average_cpc,FLOAT64
metrics.average_cpe,metrics,metrics.average_cpe,FLOAT64
metrics.average_cpm,metrics,metrics.average_cpm,FLOAT64
metrics.average_cpv,metrics,metrics.average_cpv,FLOAT64
metrics.average_impression_frequency_per_user,metrics,metrics.average_impression_frequency_per_user,FLOAT64
metrics.average_order_value_micros,metrics,metrics.average_order_value_micros,INT64
metrics.average_page_views,metrics,metrics.average_page_views,FLOAT64
metrics.average_target_cpa_micros,metrics,metrics.average_target_cpa_micros,INT64
metrics.average_target_roas,metrics,metrics.average_target_roas,FLOAT64
metrics.average_time_on_site,metrics,metrics.average_time_on_site,FLOAT64
