ResponseField,TargetField,DataType
id,id,INT64
account_id,account_id,INT64
ad_active_time,ad_active_time,INT64
ad_review_feedback,ad_review_feedback,JSON
adlabels,adlabels,JSON
adset,adset,JSON
adset_id,adset_id,INT64
bid_amount,bid_amount,INT64
campaign,campaign,JSON
campaign_id,campaign_id,INT64
configured_status,configured_status,STRING
conversion_domain,conversion_domain,STRING
created_time,created_time,TIMESTAMP
creative,creative,JSON
effective_status,effective_status,STRING
issues_info,issues_info,JSON
last_updated_by_app_id,last_updated_by_app_id,INT64
name,name,STRING
preview_shareable_link,preview_shareable_link,STRING
recommendations,recommendations,JSON
source_ad,source_ad,JSON
source_ad_id,source_ad_id,INT64
status,status,STRING
tracking_specs,tracking_specs,JSON
updated_time,updated_time,TIMESTAMP
