ResponseField,TargetField,DataType
id,id,INT64
account_id,account_id,INT64
approximate_count_lower_bound,approximate_count_lower_bound,INT64
approximate_count_upper_bound,approximate_count_upper_bound,INT64
customer_file_source,customer_file_source,STRING
data_source,data_source,JSON
delivery_status,delivery_status,JSON
description,description,STRING
is_value_based,is_value_based,BOOL
lookalike_audience_ids,lookalike_audience_ids,JSON
lookalike_spec,lookalike_spec,JSON
name,name,STRING
operation_status,operation_status,JSON
opt_out_link,opt_out_link,STRING
page_deletion_marked_delete_time,page_deletion_marked_delete_time,INT64
permission_for_actions,permission_for_actions,JSON
pixel_id,pixel_id,INT64
retention_days,retention_days,INT64
rule,rule,STRING
rule_aggregation,rule_aggregation,STRING
sharing_status,sharing_status,STRING
subtype,subtype,STRING
time_content_updated,time_content_updated,INT64
time_created,time_created,INT64
time_updated,time_updated,INT64
